M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
49152,16384,6,4,1024,4,4,3.711,0.106,9.089482e+10,3.490820e+01,1.746547e-06
49152,16384,8,4,64,4,4,3.124,0.040,3.232274e+11,7.836284e+01,1.748979e-06
49152,16384,8,4,256,4,4,3.124,0.040,3.247647e+11,7.873553e+01,1.748979e-06
49152,16384,8,4,576,4,4,3.124,0.063,2.055897e+11,4.984290e+01,1.748979e-06
49152,16384,8,4,1024,4,4,3.124,0.122,1.058733e+11,2.566778e+01,1.748979e-06
49152,16384,20,4,64,4,4,4.870,0.097,3.305708e+11,4.998226e+01,1.746039e-06
49152,16384,20,4,256,4,4,4.870,0.074,4.376328e+11,6.617003e+01,1.746039e-06
49152,16384,20,4,576,4,4,4.870,0.136,2.369488e+11,3.582664e+01,1.746039e-06
49152,16384,20,4,1024,4,4,4.870,0.213,1.514355e+11,2.289703e+01,1.746039e-06
49152,16384,32,4,64,4,4,6.542,0.201,2.562937e+11,3.253252e+01,1.743822e-06
49152,16384,32,4,256,4,4,6.542,0.113,4.563213e+11,5.792293e+01,1.743822e-06
49152,16384,32,4,576,4,4,6.542,0.252,2.048484e+11,2.600234e+01,1.743822e-06
49152,16384,32,4,1024,4,4,6.542,0.347,1.483794e+11,1.883447e+01,1.743822e-06
