M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
8192,8192,32,2,64,2,2,0.531,0.006,6.956180e+11,8.605669e+01,1.258569e-06
8192,8192,32,2,256,2,2,0.531,0.004,9.563320e+11,1.183103e+02,1.258569e-06
8192,8192,32,2,576,2,2,0.531,0.008,5.356870e+11,6.627121e+01,1.258569e-06
8192,8192,32,2,1024,2,2,0.531,0.005,9.376147e+11,1.159947e+02,1.258569e-06
16384,16384,3,2,64,2,2,0.996,0.008,2.026307e+11,1.252807e+02,1.768317e-06
16384,16384,3,2,256,2,2,0.996,0.010,1.673748e+11,1.034830e+02,1.768317e-06
16384,16384,3,2,576,2,2,0.996,0.016,9.834576e+10,6.080433e+01,1.768317e-06
16384,16384,3,2,1024,2,2,0.996,0.019,8.663227e+10,5.356222e+01,1.768317e-06
16384,16384,6,2,64,2,2,1.180,0.008,4.036421e+11,1.478267e+02,1.778713e-06
16384,16384,6,2,256,2,2,1.180,0.010,3.317369e+11,1.214927e+02,1.778713e-06
16384,16384,6,2,576,2,2,1.180,0.016,1.966290e+11,7.201186e+01,1.778713e-06
16384,16384,6,2,1024,2,2,1.180,0.019,1.731864e+11,6.342642e+01,1.778713e-06
16384,16384,8,2,64,2,2,0.992,0.008,5.395123e+11,1.245501e+02,1.771734e-06
16384,16384,8,2,256,2,2,0.992,0.010,4.463949e+11,1.030533e+02,1.771734e-06
16384,16384,8,2,576,2,2,0.992,0.016,2.622408e+11,6.054008e+01,1.771734e-06
16384,16384,8,2,1024,2,2,0.992,0.019,2.311767e+11,5.336873e+01,1.771734e-06
16384,16384,20,2,64,2,2,1.562,0.017,6.283403e+11,9.138445e+01,1.775404e-06
16384,16384,20,2,256,2,2,1.562,0.017,6.250414e+11,9.090467e+01,1.775404e-06
16384,16384,20,2,576,2,2,1.562,0.016,6.551923e+11,9.528975e+01,1.775404e-06
16384,16384,20,2,1024,2,2,1.562,0.019,5.780176e+11,8.406563e+01,1.775404e-06
16384,16384,32,2,64,2,2,2.108,0.025,6.985274e+11,8.570399e+01,1.776930e-06
16384,16384,32,2,256,2,2,2.108,0.017,9.926447e+11,1.217899e+02,1.776930e-06
16384,16384,32,2,576,2,2,2.108,0.031,5.518440e+11,6.770706e+01,1.776930e-06
16384,16384,32,2,1024,2,2,2.108,0.019,9.193869e+11,1.128018e+02,1.776930e-06
1024,1024,3,3,64,2,2,0.004,0.001,8.912757e+09,5.513579e+00,4.596672e-07
1024,1024,3,3,256,2,2,0.004,0.001,6.994518e+09,4.326925e+00,4.596672e-07
1024,1024,3,3,576,2,2,0.004,0.001,4.605281e+09,2.848904e+00,4.596672e-07
